Rap,Avg. Monthly Volume,Rank
Post Malone,"16,258",1
XXXTentacion,"14,821",2
Lil Peep,"13,563",3
Doja Cat,"13,386",4
Cardi B,"12,168",5
Drake,"11,343",6
Blueface,"10,398",7
Juice WRLD,"9,955",8
Mac Miller,"7,058",9
Eminem,"6,392",10
Scarface,"6,261",11
Tupac,"4,585",12
Pitbull,"4,373",13
Lil Wayne,"4,022",14
Atmosphere,"3,995",15
Playboi Carti,"3,833",16
21 Savage,"3,416",17
NBA YoungBoy,"3,231",18
Travis Scott,"3,018",19
King Von,"2,914",20
Lil Durk,"2,802",21
Kendrick Lamar,"2,633",22
Nipsey Hussle,"2,568",23
Nicki Minaj,"2,429",24
Lil Uzi Vert,"2,119",25
Bones,"2,103",26
Wiz Khalifa,"2,045",27
MF DOOM,"1,953",28
Future,"1,888",29
Moneybagg Yo,"1,827",30
Ghostemane,"1,735",31
50 Cent,"1,663",32
Wu-Tang Clan,"1,523",33
"Tyler, The Creator","1,375",34
Lil Yachty,"1,375",34
J. Cole,"1,360",36
Tyga,"1,359",37
Eve,"1,068",38
Trippie Redd,"1,053",39
Lauryn Hill,"1,028",40
Snoop Dogg,980,41
Ice Cube,979,42
Chief Keef,972,43
Offset,968,44
Young Thug,918,45
Megan Thee Stallion,888,46
Kodak Black,872,47
Rick Ross,839,48
Birdman,808,49
OutKast,806,50
Diddy,800,51
Lil Pump,788,52
Nav,787,53
6ix9ine,765,54
Polo G,755,55
Jay-Z,749,56
Pop Smoke,721,57
The Game,713,58
CJ,701,59
DMX,700,60
Lil Skies,684,61
Nas,681,62
Kanye West,674,63
Nelly,658,64
Logic,656,65
Gunna,645,66
Lil Xan,563,67
OhGeesy,553,68
Jack Harlow,528,69
N.W.A,518,70
Lil Tracy,517,71
Ski Mask the Slump God,496,72
Anderson .Paak,474,73
Lil Mosey,465,74
LL Cool J,461,75
DaBaby,452,76
Method Man,440,77
Takeoff,427,78
YNW Melly,425,79
Dr. Dre,413,80
Paul Wall,410,81
Queen Latifah,406,82
Swae Lee,400,83
Quavo,398,84
Lil Kim,398,85
Andre 3000,367,86
Tech N9ne,347,87
Busta Rhymes,339,88
Lil Tjay,337,89
Big Sean,335,90
Aesop Rock,333,91
T-Pain,333,92
Ja Rule,319,93
Ludacris,310,94
Saweetie,309,95
Roddy Ricch,305,96
Flo Rida,300,97
Chance the Rapper,293,98
Childish Gambino,291,99
T.I.,290,100
Fat Nick,278,101
YBN Nahmir,270,102
Run the Jewels,270,102
Notorious B.I.G.,258,104
Pimp C,256,105
Night Lovell,244,106
Jim Jones,241,107
Mase,237,108
Denzel Curry,234,109
Mac Dre,225,110
A Tribe Called Quest,216,111
Three 6 Mafia,206,112
Fat Joe,204,113
Pouya,204,113
Bone Thugs-N-Harmony,202,115
Migos,192,116
Slim Thug,188,117
Big Pun,180,118
Akon,179,119
Iann Dior,178,120
Juvenile,176,121
Lil Jon,174,122
Trina,167,123
Missy Elliott,163,124
UGK,159,125
Famous Dex,158,126
Fabolous,155,127
Big L,150,128
Ice-T,143,129
Ghostface Killah,140,130
De La Soul,139,131
Da Brat,132,132
Lloyd Banks,129,133
Nate Dogg,128,134
RZA,124,135
Project Pat,123,136
Shoreline Mafia,118,137
Young Buck,116,138
Plies,107,139
Hopsin,106,140
Slick Rick,103,141
E-40,99,142
Big Boi,98,143
Jadakiss,98,144
Q-Tip,98,144
Ying Yang Twins,97,146
Styles P,96,147
Juelz Santana,93,148
Ty Dolla Sign,78,149
24kGoldn,73,150
Immortal Technique,66,151
GZA,66,151
Too Short,62,153
Pusha T,57,154
Ace Hood,56,155
Mos Def,56,155
YBN Almighty Jay,55,157
Trick Daddy,50,158
MC Lyte,44,159
Bun B,44,159
Tony Yayo,42,161
Rakim,37,162
Chamillionaire,36,163
A$AP Rocky,33,164
Rapsody,8,165
YBN Cordae,0,166
8Ball & MJG,0,166
Warren G,0,166
Ugly God,0,166
YNW BSlime,0,166
The D.O.C.,0,166
Ol' Dirty Bastard,0,166
Soulja Boy,0,166
Cam'ron,0,166
Jay Critch,0,166
Geto Boys,0,166
Juicy J,0,166
KRS-One,0,166
Kid Cudi,0,166
Killer Mike,0,166
Lil Baby,0,166
Brother Ali,0,166
Lil Reese,0,166
Black Thought,0,166
Talib Kweli,0,166
Black Rob,0,166
Mike Jones,0,166
Craig Mack,0,166
Big Daddy Kane,0,166
Eric B.,0,166
Phife Dawg,0,166
El-P,0,166
Raekwon,0,166
Rich the Kid,0,166
Salt-N-Pepa,0,166
Sheek Louch,0,166
Shyne,0,166
Mannie Fresh,0,166
Murs,0,166
