Rock,Avg. Monthly Volume,Rank
Billie Eilish,"23,484",1
Rihanna,"9,204",2
Chicago,"6,847",3
Metallica,"3,035",4
Nirvana,"2,928",5
Deftones,"2,883",6
Pink Floyd,"2,815",7
Twenty One Pilots,"2,797",8
Tool,"2,648",9
Guns N' Roses,"2,625",10
Avenged Sevenfold,"2,591",11
Slipknot,"2,583",12
Beyoncé,"2,547",13
Sublime,"2,393",14
Incubus,"2,339",15
Alice in Chains,"2,138",16
System of a Down,"2,112",17
Boston,"1,995",18
Blink-182,"1,973",19
Bob Marley,"1,926",20
Led Zeppelin,"1,866",21
Linkin Park,"1,728",22
Radiohead,"1,658",23
Michael Jackson,"1,504",24
Red Hot Chili Peppers,"1,483",25
Johnny Cash,"1,386",26
Muse,"1,302",27
Iron Maiden,"1,282",28
Pantera,"1,213",29
Green Day,"1,071",30
Black Sabbath,"1,063",31
Oasis,"1,055",32
Foo Fighters,997,33
Stevie Nicks,975,34
My Chemical Romance,963,35
Slayer,959,36
Jimi Hendrix,933,37
Mötley Crüe,920,38
Paramore,915,39
Pearl Jam,894,40
Van Halen,893,41
Prince,837,42
Fleetwood Mac,829,43
David Bowie,829,43
Genesis,813,45
Journey,809,46
AC/DC,794,47
Motorhead,789,48
Limp Bizkit,706,49
Madonna,694,50
Arctic Monkeys,677,51
Rammstein,666,52
Megadeth,635,53
Tame Impala,633,54
The Cure,627,55
Pixies,623,56
Kiss Band,614,57
Lynyrd Skynyrd,609,58
Loverboy,592,59
Rush,582,60
The Beatles,571,61
Depeche Mode,570,62
Elvis Presley,568,63
Coldplay,538,64
The Strokes,537,65
Bon Jovi,536,66
The Smiths,532,67
Nine Inch Nails,531,68
311,510,69
Talking Heads,504,70
Kansas,500,71
Joy Division,491,72
Rage Against the Machine,483,73
The Doors,459,74
Weezer,453,75
Aerosmith,447,76
Bruce Springsteen,422,77
Hole,421,78
Soundgarden,418,79
Judas Priest,405,80
Stone Temple Pilots,404,81
Def Leppard,398,82
Elton John,392,83
Queen Band,382,84
U2,361,85
Imagine Dragons,358,86
Courtney Love,354,87
Thirty Seconds to Mars,354,87
Steely Dan,351,89
Beck,340,90
Bush,318,91
R.E.M.,306,92
The Offspring,299,93
The Killers,286,94
The Clash,285,95
The Who,285,95
Yes,283,97
Kings of Leon,280,98
ZZ Top,269,99
Styx,259,100
Mad Season,253,101
Duran Duran,251,102
Foreigner,239,103
Sonic Youth,223,104
The Cranberries,222,105
No Doubt,221,106
Sex Pistols,215,107
Garbage,208,108
Anthrax,198,109
Electric Light Orchestra,196,110
New Order,193,111
The Eagles Band,182,112
The Misfits,179,113
Scorpions Band,176,114
Blondie,168,115
Phil Collins,155,116
The Smashing Pumpkins,149,117
Arcade Fire,141,118
L7,118,119
The Rolling Stones,114,120
Collective Soul,104,121
The Replacements,98,122
REO Speedwagon,93,123
Temple of the Dog,90,124
The White Stripes,90,124
Hüsker Dü,87,126
The Pixies,85,127
Peter Gabriel,84,128
Supertramp,79,129
INXS,77,130
The Ramones,68,131
The Police,58,132
The Kinks,57,133
The Jam,20,134
The Stone Roses,17,135
Simple Minds,16,136
The Pretenders,6,137
The Breeders,0,138
Fall Out Boy,0,138
Screaming Trees,0,138
Echo & the Bunnymen,0,138
The Jesus and Mary Chain,0,138
The Grateful Dead,0,138
Mumford & Sons,0,138
The Beach Boys,0,138
The Cars,0,138
Beastie Boys,0,138
The Psychedelic Furs,0,138
