Capital,State,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",Mcmeal at Mcdonalds Or Equivalent Combo Meal,Domestic Beer 1 Pint Draught,Imported Beer 12 Oz Small Bottlein Restaurant,Cappuccino Regular,Coke/pepsi 12 Oz Small Bottle,Water 12 Oz Small Bottle,"Milk Regular, 1 Gallon",Loaf of Fresh White Bread 1 Lb,"Rice White, 1 Lb",Eggs Regular 12,Local Cheese 1 Lb,Chicken Fillets 1 Lb,Beef Round 1 Lb Or Equivalent Back Leg Red Meat,Apples 1 Lb,Banana 1 Lb,Oranges 1 Lb,Tomato 1 Lb,Potato 1 Lb,Onion 1 Lb,Lettuce 1 Head,Water 1.5 Liter Bottle,Bottle of Wine Mid-range,Domestic Beer 0.5 Liter Bottle,Imported Beer 12 Oz Small Bottle,Cigarettes 20 Pack Marlboro,Taxi Start Normal Tariff,Taxi 1 Mile Normal Tariff,Gasoline 1 Gallon,Volkswagen Golf 1.4 90 Kw Trendline Or Equivalent New Car,Toyota Corolla Sedan 1.6l 97kw Comfort Or Equivalent New Car,"Basic Electricity, Heating, Cooling, Water, Garbage for 915 Sq Ft Apartment",Mobile Phone Monthly Plan with Calls and 10gb+ Data,"Internet 60 Mbps Or More, Unlimited Data, Cable/adsl","Cinema, International Release, 1 Seat","Preschool Or Kindergarten, Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",1 Pair of Jeans Levis 501 Or Similar,"1 Summer Dress in A Chain Store Zara, H&m, ...",1 Pair of Nike Running Shoes Mid-range,1 Pair of Men Leather Business Shoes,Apartment 1 Bedroom in City Centre,Apartment 1 Bedroom Outside of Centre,Apartment 3 Bedrooms in City Centre,Apartment 3 Bedrooms Outside of Centre,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Average Monthly Net Salary After Tax,"Mortgage Interest Rate in Percentages %, Yearly, for 20 Years Fixed-rate",Index - Overall (/100),Index - Childcare (/100),Index - Clothing (/100),Index - Cost to Buy Apartment (/100),Index - Leisure (/100),Index - Markets (/100),Index - Monthly Rent (/100),Index - Monthly Utilities (/100),Index - Restaurants (/100),Index - Salaries and Financing (/100),Index - Transportation (/100),Rank - Overall,Rank - Childcare,Rank - Clothing,Rank - Cost to Buy Apartment,Rank - Leisure,Rank - Markets,Rank - Monthly Rent,Rank - Monthly Utilities,Rank - Restaurants,Rank - Salaries and Financing,Rank - Transportation
Frankfort,Kentucky,13.00,48.00,8.00,3.25,8.00,4.33,1.77,1.29,3.08,2.55,1.90,2.60,5.50,4.08,7.15,1.19,0.56,0.99,1.45,1.08,0.74,1.83,2.00,10.37,1.73,2.62,8.60,5.00,,3.34,"21,996","24,995",239.27,44.17,69.60,10.25,550.00,"5,000",36.48,15.00,84.50,67.50,650.00,650.00,"1,450.00","1,260.00",,,"4,136.11",6.58,73.49,98.77,83.07,64.77,69.44,73.64,95.37,50.64,78.14,49.02,57.35,1,1,3,23,6,2,2,27,2,21,15
Montgomery,Alabama,17.00,50.00,10.00,4.00,3.75,4.50,2.00,2.12,3.73,3.42,1.15,3.35,3.75,2.83,5.41,2.67,0.68,1.00,1.53,0.95,1.00,1.95,1.24,10.00,1.73,1.50,7.00,5.00,3.25,3.04,"29,500","25,018",187.71,43.00,60.00,7.50,891.89,"10,000",54.67,20.00,65.00,112.50,"1,200.00",750.00,"1,600.00",925.00,133.04,115.52,"3,782.13",6.55,73.23,85.62,72.37,91.98,100.00,76.15,90.16,63.93,66.35,46.30,49.21,2,2,8,2,1,1,3,11,9,26,32
Topeka,Kansas,13.50,54.00,10.00,5.00,6.00,3.50,2.08,1.56,3.12,3.07,0.98,4.16,4.00,5.05,5.66,2.50,0.94,2.18,1.90,1.69,1.13,1.99,1.00,10.50,1.55,1.69,8.30,2.75,2.50,3.05,"24,000","25,735",123.32,48.20,78.33,10.50,550.00,,22.50,19.99,61.67,70.00,"1,067.50",858.33,"2,000.00","1,787.50",99.00,123.00,"3,368.89",6.22,71.89,81.54,93.84,91.48,66.67,66.86,81.00,62.26,70.05,51.10,67.62,3,5,2,3,7,8,8,12,7,13,3
Charleston,West Virginia,13.00,40.00,8.00,4.00,6.00,2.50,1.30,1.51,3.09,2.53,1.52,2.69,4.60,4.51,7.35,1.93,0.68,1.41,1.98,1.15,1.27,1.72,1.51,12.00,1.73,2.00,8.79,3.75,2.00,3.27,"35,556","24,484",129.41,43.00,57.46,12.00,"1,566.11","17,408",41.27,48.75,99.29,105.00,900.00,,,,96.99,96.99,"2,458.33",6.53,69.53,62.02,56.52,100.00,50.00,68.83,71.55,77.63,85.86,33.23,58.05,4,23,25,1,12,6,16,2,1,45,14
Lansing,Michigan,15.00,70.00,10.00,4.00,6.00,4.72,2.19,1.68,3.32,2.62,1.09,2.20,3.00,6.00,6.00,1.79,0.53,2.25,2.25,1.13,1.27,2.59,2.25,12.50,2.00,2.50,9.50,2.50,2.25,3.48,"32,850","24,767",172.50,46.50,54.75,8.50,"1,294.79","16,800",50.75,32.50,82.00,97.50,"1,001.25",801.25,"1,650.00","1,283.33",128.51,128.51,"3,193.45",6.43,68.34,69.28,65.63,88.61,88.89,65.01,88.38,66.96,62.91,43.76,60.10,5,16,16,5,2,10,4,9,12,36,12
Little Rock,Arkansas,12.00,50.00,10.50,5.00,6.50,4.75,2.56,2.33,3.75,2.86,1.21,2.83,4.17,4.17,6.29,2.21,0.64,1.16,1.31,0.74,1.04,1.88,1.92,12.00,2.01,2.64,7.00,2.50,2.41,2.97,"30,000","25,258",213.49,52.75,73.93,12.00,"1,094.44","18,980",48.00,51.67,83.00,104.00,"1,200.50",847.50,"1,700.00","1,262.50",127.40,127.40,"3,862.85",6.68,66.84,72.16,57.15,88.95,50.00,71.58,85.61,43.69,59.03,42.96,67.33,6,14,24,4,12,5,5,37,13,38,5
Jackson,Mississippi,17.50,60.00,9.50,3.50,3.75,4.08,2.00,1.63,3.61,2.43,2.00,4.75,3.50,3.99,7.71,2.69,0.69,0.68,2.26,1.88,0.89,1.50,2.34,15.00,1.73,1.88,7.50,2.00,2.20,2.88,"33,000","27,344",226.54,52.00,60.00,12.00,600.00,"27,240",40.00,15.00,75.00,80.00,866.67,"1,200.00","2,150.00","2,250.00",133.97,133.97,"3,016.59",6.53,66.43,76.55,82.29,86.99,50.00,61.50,73.73,50.81,71.27,39.00,72.46,7,8,4,6,12,16,13,26,4,43,2
Des Moines,Iowa,16.00,70.00,9.75,4.75,5.00,4.87,2.13,2.02,3.92,2.60,1.50,3.10,5.43,4.94,6.22,2.12,0.71,1.59,1.74,0.75,1.36,2.20,1.10,13.50,1.73,3.96,7.14,2.00,2.00,3.12,"26,000","24,438",150.60,48.75,54.54,15.00,"1,369.17","11,812",51.88,42.50,88.11,137.14,"1,215.00",912.50,"1,750.00","1,480.00",201.80,201.80,"3,980.77",6.61,66.35,72.15,52.01,71.72,16.67,65.46,82.58,69.25,58.92,46.47,80.53,8,15,32,17,36,9,7,8,14,25,1
Cheyenne,Wyoming,18.00,65.00,7.75,4.00,3.75,5.39,1.25,1.00,3.50,3.40,1.01,2.99,4.50,2.50,6.28,1.59,0.70,2.25,2.00,1.50,0.75,2.29,1.65,15.00,1.73,2.50,8.60,2.50,2.25,3.28,"38,813","24,140",187.20,43.67,64.00,10.00,"1,433.33","30,700",45.00,45.00,88.00,97.50,"1,075.00",933.33,"2,500.00","2,200.00",178.00,178.00,"3,940.40",6.53,65.91,52.75,60.86,76.30,72.22,66.91,73.78,60.47,76.40,48.54,58.11,9,36,20,12,4,7,12,14,3,22,13
Springfield,Illinois,16.00,50.00,10.00,4.00,4.75,3.50,2.45,1.50,3.07,2.85,2.43,2.63,4.19,4.84,5.79,1.75,0.52,2.50,1.71,0.89,1.35,1.73,1.29,14.00,1.27,1.59,8.00,2.00,2.75,3.58,"35,000","24,944",197.00,59.62,77.22,12.00,"1,855.00","27,350",49.40,44.67,65.80,92.00,925.00,"1,200.00","2,050.00","2,657.50",376.98,103.96,"3,293.25",5.47,65.40,45.52,67.48,83.95,50.00,72.28,70.63,40.24,70.49,64.39,56.17,10,40,12,8,12,4,17,41,5,4,18
